ball_one;ball_two;ball_three;ball_four;ball_five;ball_six;bonusball;sum_six_ball;sum_allballs
2;3;6;20;24;34;16;89;105
2;5;14;27;33;38;7;119;126
19;21;23;24;26;41;42;154;196
4;8;14;16;30;38;12;110;122
3;4;5;13;19;42;17;86;103
1;3;28;31;37;39;18;139;157
1;14;18;24;25;34;28;116;144
5;13;25;26;33;41;24;143;167
5;16;22;30;41;42;38;156;194
4;7;17;28;35;41;8;132;140
3;7;22;33;35;40;25;140;165
2;15;17;22;37;41;35;134;169
9;22;24;31;35;42;32;163;195
3;15;16;28;38;42;29;142;171
1;9;11;12;21;29;31;83;114
7;19;22;25;30;33;8;136;144
11;15;21;22;26;39;5;134;139
12;20;22;24;35;36;18;149;167
6;15;16;24;30;33;22;124;146
12;14;18;25;29;39;16;137;153
9;14;31;35;37;39;26;165;191
2;18;20;27;39;40;24;146;170
7;8;16;23;30;34;9;118;127
4;17;19;25;30;41;11;136;147
2;9;10;20;41;42;23;124;147
11;13;21;33;36;41;4;155;159
1;19;25;30;32;40;39;147;186
5;22;29;37;39;40;27;172;199
5;9;18;31;34;38;16;135;151
10;18;24;27;28;37;25;144;169
10;13;14;27;32;33;37;129;166
4;17;29;31;32;39;37;152;189
7;13;14;20;30;37;17;121;138
4;5;21;33;34;40;35;137;172
1;16;17;21;26;27;34;108;142
12;16;18;19;31;36;21;132;153
2;10;18;27;31;38;1;126;127
7;10;13;21;23;36;30;110;140
3;10;15;29;34;38;41;129;170
2;20;24;35;37;38;10;156;166
8;18;19;27;33;34;13;139;152
6;13;20;25;28;34;5;126;131
4;10;20;35;38;42;18;149;167
13;14;17;18;28;29;22;119;141
2;6;14;18;30;36;12;106;118
2;14;17;20;34;39;23;126;149
4;7;9;11;21;25;15;77;92
2;19;24;31;39;40;12;155;167
2;3;13;18;22;23;4;81;85
17;24;32;34;35;42;29;184;213
9;12;14;18;20;36;3;109;112
8;12;24;25;36;38;4;143;147
1;13;20;22;32;36;18;124;142
4;5;7;16;19;20;12;71;83
8;9;18;23;35;36;2;129;131
7;21;25;35;37;38;42;163;205
7;8;18;22;29;31;14;115;129
6;8;9;23;35;37;18;118;136
8;20;23;26;35;40;33;152;185
2;7;22;29;31;37;16;128;144
10;11;15;17;18;34;32;105;137
7;11;18;30;33;42;24;141;165
4;21;23;34;36;42;8;160;168
4;6;15;18;21;26;9;90;99
4;15;18;26;30;41;7;134;141
1;10;12;13;32;42;16;110;126
6;10;13;14;25;28;41;96;137
6;16;32;34;35;37;8;160;168
7;16;29;33;38;42;22;165;187
6;7;12;21;34;37;24;117;141
3;4;9;13;19;28;17;76;93
3;21;24;28;39;41;6;156;162
8;10;13;33;35;39;25;138;163
7;12;17;18;20;32;3;106;109
11;15;16;30;33;36;17;141;158
4;7;9;12;21;42;41;95;136
1;7;8;16;32;39;40;103;143
6;17;24;28;30;32;42;137;179
1;2;10;18;32;34;11;97;108
11;22;24;34;37;39;3;167;170
5;7;8;21;25;41;28;107;135
1;5;18;28;33;40;23;125;148
5;6;11;23;25;29;10;99;109
5;7;17;31;39;40;41;139;180
4;12;13;20;37;38;16;124;140
4;9;11;18;33;40;37;115;152
4;12;17;18;23;29;9;103;112
2;7;20;24;26;33;6;112;118
1;28;31;34;37;38;36;169;205
5;19;35;37;39;41;2;176;178
6;9;12;32;37;40;23;136;159
4;21;24;27;33;41;8;150;158
1;2;3;14;25;42;7;87;94
1;5;7;9;20;36;42;78;120
14;23;30;39;40;42;22;188;210
4;7;9;10;20;30;21;80;101
10;11;23;27;30;37;13;138;151
4;9;17;23;32;41;10;126;136
16;17;21;25;26;39;2;144;146
3;4;7;15;29;37;36;95;131
4;6;11;30;33;42;23;126;149
8;13;18;28;30;38;19;135;154
15;20;22;26;29;36;41;148;189
1;8;9;13;14;33;11;78;89
3;6;12;13;27;37;25;98;123
13;14;25;27;34;42;10;155;165
26;29;30;35;39;42;4;201;205
3;23;26;33;38;40;30;163;193
3;16;22;30;31;41;39;143;182
21;24;32;34;35;36;5;182;187
1;12;26;35;37;40;10;151;161
8;15;17;21;26;42;9;129;138
3;9;20;32;35;42;19;141;160
4;18;20;25;31;38;8;136;144
2;4;19;22;24;41;14;112;126
4;11;14;30;36;38;22;133;155
13;17;23;31;35;38;39;157;196
2;4;7;13;28;34;26;88;114
3;9;18;32;36;42;33;140;173
2;7;10;23;36;40;32;118;150
1;6;16;31;36;37;2;127;129
3;7;14;15;34;38;4;111;115
1;3;16;24;26;39;14;109;123
9;16;21;26;31;37;28;140;168
7;16;19;26;28;34;24;130;154
5;15;16;21;25;27;17;109;126
7;11;26;33;35;39;27;151;178
3;12;13;23;28;32;18;111;129
4;26;27;40;41;42;6;180;186
1;5;18;19;22;25;17;90;107
2;16;21;23;31;41;32;134;166
9;11;15;34;36;38;5;143;148
14;16;17;18;21;33;35;119;154
4;11;24;29;30;36;19;134;153
1;6;16;23;25;31;20;102;122
7;10;11;15;20;38;25;101;126
7;15;17;25;26;31;11;121;132
1;3;8;22;23;36;20;93;113
4;14;18;35;36;40;41;147;188
1;3;6;11;24;40;27;85;112
15;20;21;32;36;39;7;163;170
